event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
PCH Champs,4189,16,blue,2,Center,1,0,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,3,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:18:24
PCH Champs,4451,16,blue,1,Lane,0,0,1,0,0,0,FALSE,FALSE,TRUE,1,0,2,2,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:18:20
PCH Champs,4509,16,blue,0,Bump,0,0,0,2,0,0,FALSE,FALSE,TRUE,1,1,2,0,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,null,2023-04-07 9:19:09
PCH Champs,1648,16,red,2,Center,1,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,1,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,Failed on picking up boxes did not picked any cones ,2023-04-07 9:19:27
PCH Champs,9293,16,red,3,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,4,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:18:26
PCH Champs,8575,17,blue,2,Lane,1,0,0,0,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:25:09
PCH Champs,3815,17,blue,1,Bump,0,0,1,0,0,0,FALSE,FALSE,TRUE,0,0,5,0,0,1,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,null,2023-04-07 9:25:18
PCH Champs,6341,17,blue,3,Center,1,0,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-07 9:25:18
PCH Champs,5900,17,red,2,Center,0,0,0,0,0,0,FALSE,TRUE,TRUE,0,0,3,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Good teamwork but not scoring high points couldn't move their arm to pick up cones or boxes they where pushing the to the low points ,2023-04-07 9:27:02
PCH Champs,6712,17,red,1,Lane,0,0,0,1,0,0,FALSE,FALSE,TRUE,0,0,0,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,Fell of charging station,2023-04-07 9:25:41
