event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
Hartsville,1319,30,blue,1,Bump,0,2,0,0,0,0,FALSE,FALSE,TRUE,2,0,2,2,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,,2023-03-24 16:51:51
Hartsville,1319,34,red,3,Center,0,0,0,0,0,0,TRUE,null,TRUE,0,2,0,2,0,2,null,null,TRUE,null,null,2,null,null,null,2023-03-24 16:42:45
Hartsville,1319,38,blue,2,Bump,0,0,0,0,2,0,FALSE,FALSE,TRUE,0,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 16:33:22
Hartsville,1319,44,blue,2,Center,0,0,0,0,0,0,TRUE,null,FALSE,0,0,0,0,0,0,null,TRUE,TRUE,null,null,2,null,null,didn’t attempt to get any pieces. only tried to block opponents,2023-03-24 17:16:56
Hartsville,1539,5,red,3,Bump,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,TRUE,,2023-03-24 17:08:41
Hartsville,1539,8,red,1,Lane,0,0,0,0,0,0,null,null,TRUE,0,0,0,0,0,0,null,null,null,null,null,0,null,null,controlled two game pieces and cant pick anything up,2023-03-24 17:00:53
Hartsville,1539,8,red,1,Lane,0,0,0,0,0,0,null,null,TRUE,0,0,0,0,0,0,null,null,null,null,null,0,null,null,controlled two game pieces and cant pick anything up,2023-03-24 16:52:24
Hartsville,1539,13,red,3,Bump,0,0,0,0,0,0,null,null,TRUE,2,0,2,0,0,0,TRUE,null,TRUE,null,null,2,null,null,null,2023-03-24 16:42:31
Hartsville,1539,18,blue,2,Bump,0,0,0,0,0,0,null,null,TRUE,0,0,0,0,0,2,TRUE,null,FALSE,null,TRUE,2,null,null,null,2023-03-24 16:33:31
Hartsville,1539,21,red,1,Bump,0,0,0,0,0,0,null,null,TRUE,0,2,0,0,0,2,null,null,TRUE,null,null,2,null,null,null,2023-03-24 11:40:42
Hartsville,1539,31,blue,3,Bump,0,0,0,0,0,0,FALSE,FALSE,TRUE,2,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Bot broke arm spool and very slow,2023-03-24 11:13:10
Hartsville,1539,36,blue,3,Bump,0,0,0,0,0,0,null,null,TRUE,0,2,2,0,0,0,null,null,null,null,TRUE,2,null,null,null,2023-03-24 11:29:17
Hartsville,1539,45,blue,1,Lane,0,0,0,0,0,0,null,null,TRUE,2,0,0,2,0,0,TRUE,null,null,TRUE,FALSE,0,null,null,Slow arm extention. but great placements,2023-03-24 11:05:00
Hartsville,1539,45,blue,1,Lane,0,0,0,0,0,0,null,null,TRUE,2,0,0,2,0,0,TRUE,null,null,TRUE,FALSE,0,null,null,Slow arm extention. but great placements,2023-03-24 10:57:13
Hartsville,1758,4,blue,2,Center,0,0,0,0,0,2,null,TRUE,TRUE,0,0,2,0,0,2,null,null,TRUE,null,null,2,null,null,Grabber was loose or on a swivel.,2023-03-24 10:47:44
Hartsville,1758,8,blue,3,Center,0,0,0,0,2,0,null,TRUE,null,0,2,0,0,2,0,TRUE,null,TRUE,null,null,2,null,null,Partially struggled with getting pieces from substation,2023-03-24 15:43:20
Hartsville,1758,12,blue,2,Center,0,0,0,0,2,0,FALSE,FALSE,FALSE,0,0,0,0,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 15:51:59
Hartsville,1758,19,blue,1,Center,0,0,0,0,0,2,TRUE,FALSE,TRUE,0,2,0,0,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,More accurate placement in tele-op. Missed placing one cone in autonomous,2023-03-24 16:04:55
Hartsville,1758,24,red,3,Center,0,0,0,0,2,0,null,TRUE,null,0,2,0,0,2,0,null,null,TRUE,null,null,3,null,null,Good at mid nodes,2023-03-24 16:12:14
Hartsville,1758,32,blue,3,Center,0,0,0,0,2,0,null,null,TRUE,0,2,2,0,2,2,null,null,TRUE,null,null,2,null,null,Good cycle time but only scores middle nodes,2023-03-24 16:20:26
